source_year,source_file,source_sheet,case_number,education_name,education_area,decision,municipality,county,education_credits,study_mode,study_pace_percentage,education_provider,principal_type,sun5_code,sun5_name,seqf_level,narrow_occupational_area,total_sought_places,total_granted_places,is_approved,is_distance,program_length_years,municipality_code,county_code
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4419,.NET Developer,Data/It,Avslag,Östersund,Jämtland,425,Bunden,100,Kyh Ab,Privat,,,,,35,0,False,False,2.1,2380,23
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4419,.NET Developer,Data/It,Avslag,Växjö,Kronoberg,425,Bunden,100,Kyh Ab,Privat,,,,,40,0,False,False,2.1,0780,07
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4482,.NET Developer,Data/It,Avslag,Malmö,Skåne,430,Bunden,100,Kyh Ab Malmö,Privat,,,,,105,0,False,False,2.2,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4419,.NET Developer,Data/It,Avslag,Norrtälje,Stockholm,425,Bunden,100,Kyh Ab,Privat,,,,,45,0,False,False,2.1,0188,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4419,.NET Developer,Data/It,Avslag,Katrineholm,Södermanland,425,Bunden,100,Kyh Ab,Privat,,,,,35,0,False,False,2.1,0483,04
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4419,.NET Developer,Data/It,Avslag,Vingåker,Södermanland,425,Bunden,100,Kyh Ab,Privat,,,,,20,0,False,False,2.1,0428,04
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5610,.net utvecklare,Data/It,Avslag,Göteborg,Västra Götaland,400,Bunden,100,Abf Göteborg Vuxenutbildning Ab,Privat,,,,,90,0,False,False,2.0,1480,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4403,.NET Utvecklare ,Data/It,Beviljad,Göteborg,Västra Götaland,400,Bunden,100,Plushögskolan Ab - Teknikhögskolan,Privat,,,,,150,90,True,False,2.0,1480,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5766,.NET-utvecklare,Data/It,Beviljad,Stockholm,Stockholm,400,Distans,100,It-Högskolan Stockholm Ab,Privat,,,,,105,105,True,True,2.0,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5764,.NET-utvecklare,Data/It,Beviljad,Göteborg,Västra Götaland,400,Bunden,100,It-Högskolan Sverige Ab,Privat,,,,,105,105,True,False,2.0,1480,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5579,.NET-utvecklare,Data/It,Avslag,Mölndal,Västra Götaland,400,Distans,100,Campus Mölndal,Kommun,,,,,175,0,False,True,2.0,1481,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5582,365-specialist,Data/It,Avslag,Mölndal,Västra Götaland,360,Bunden,100,Campus Mölndal,Kommun,,,,,90,0,False,False,1.8,1481,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5583,365-specialist,Data/It,Avslag,Mölndal,Västra Götaland,360,Distans,100,Campus Mölndal,Kommun,,,,,105,0,False,True,1.8,1481,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4074,Advanced Software Developer Electrical & Autonomous Vehicles,Data/It,Avslag,Trollhättan,Västra Götaland,400,Distans,100,Yrkesakademin Yh Ab,Privat,,,,,150,0,False,True,2.0,1488,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4905,Affärsdriven Android-utvecklare,Data/It,Avslag,Malmö,Skåne,110,Distans,50,Sveriges Yrkeshögskola Ab - Malmö Yrkeshögskola,Privat,,,,,105,0,False,True,0.6,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4901,"Affärsdriven applikationsutvecklare dator, webb och mobil",Data/It,Avslag,Malmö,Skåne,110,Distans,50,Sveriges Yrkeshögskola Ab - Malmö Yrkeshögskola,Privat,,,,,105,0,False,True,0.6,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5530,Affärsdriven Backendutvecklare,Data/It,Avslag,Malmö,Skåne,440,Bunden,100,Sveriges Yrkeshögskola Ab - Malmö Yrkeshögskola,Privat,,,,,105,0,False,False,2.2,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4906,Affärsdriven iPhone-utvecklare,Data/It,Avslag,Malmö,Skåne,110,Distans,50,Sveriges Yrkeshögskola Ab - Malmö Yrkeshögskola,Privat,,,,,105,0,False,True,0.6,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5827,Agil Javautvecklare,Data/It,Beviljad,Gävle,Gävleborg,400,Distans,100,Edugrade Ab,Privat,,,,,140,105,True,True,2.0,2180,21
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Hässleholm,Skåne,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,1293,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5354,Agil projektledare,Data/It,Beviljad,Malmö,Skåne,225,Distans,50,Ihm Business School Ab Malmö,Privat,,,,,90,90,True,True,1.1,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Malmö,Skåne,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Simrishamn,Skåne,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,1291,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5326,Agil projektledare,Data/It,Beviljad,Stockholm,Stockholm,225,Distans,50,Ihm Business School Ab Stockholm,Privat,,,,,90,90,True,True,1.1,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Stockholm,Stockholm,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Dorotea,Västerbotten,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,2425,24
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Lycksele,Västerbotten,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,2481,24
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5781,Agil projektledare,Data/It,Avslag,Göteborg,Västra Götaland,200,Bunden,100,Företagsekonomiska Institutet 1888 Ab,Privat,,,,,20,0,False,False,1.0,1480,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4456,Agil Projektledare ,Data/It,Avslag,Karlstad,Värmland,150,Distans,50,Plushögskolan Ab - Teknikhögskolan,Privat,,,,,175,0,False,True,0.8,1780,17
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5074,Agil systemutvecklare i Java och Javascript ,Data/It,Avslag,Stockholm,Stockholm,400,Bunden,100,Lernia Utbildning Ab,Privat,,,,,175,0,False,False,2.0,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5071,Agil systemutvecklare i Java och JavaScript  ,Data/It,Beviljad,Piteå,Norrbotten,400,Bunden,100,Lernia Utbildning Ab,Privat,,,,,60,60,True,False,2.0,2581,25
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5067,Agile Project Leader,Data/It,Avslag,Karlskrona,Blekinge,325,Bunden,100,Hyper Island Program Ab - Karlskrona,Privat,,,,,105,0,False,False,1.6,1080,10
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5740,Agile Project Manager,Data/It,Avslag,Karlstad,Värmland,300,Bunden,100,Changemaker Educations Ab,Privat,,,,,75,0,False,False,1.5,1780,17
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4824,Agile Project Manager ,Data/It,Beviljad,Stockholm,Stockholm,300,Bunden,100,Changemaker Educations Ab,Privat,,,,,140,105,True,False,1.5,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5830,AI Data Analyst,Data/It,Avslag,Stockholm,Stockholm,420,Distans,100,Edugrade Ab,Privat,,,,,105,0,False,True,2.1,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5181,Applikationsutvecklare,Data/It,Avslag,Kristianstad,Skåne,400,Bunden,100,Högskolan Kristianstad Uppdrag Ab,Privat,,,,,150,0,False,False,2.0,1290,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4432,Applikationsutvecklare mobila enheter,Data/It,Beviljad,Malmö,Skåne,400,Bunden,100,Kyh Ab,Privat,,,,,45,45,True,False,2.0,1280,12
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4432,Applikationsutvecklare mobila enheter,Data/It,Beviljad,Nacka,Stockholm,400,Bunden,100,Kyh Ab,Privat,,,,,60,60,True,False,2.0,0182,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5495,Apputvecklare mobila plattformar,Data/It,Avslag,Göteborg,Västra Götaland,400,Bunden,100,"Göteborgs Stad, Yrgo",Kommun,,,,,75,0,False,False,2.0,1480,14
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/5188,Automatiserad Dataanalys med inriktning Artificiell Intelligens,Data/It,Avslag,Oskarshamn,Kalmar,200,Distans,100,Etec Teknikutbildning Ab,Privat,,,,,80,0,False,True,1.0,0882,08
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4872,Azure Cloud Hero,Data/It,Avslag,Stockholm,Stockholm,400,Distans,100,Enzure Education Ab,Privat,,,,,105,0,False,True,2.0,0180,01
2020,resultat-ansokningsomgang-2020.xlsx,"Tabell 3, 4",MYH 2020/4797,Backend Developer,Data/It,Avslag,Stockholm,Stockholm,400,Bunden,100,Hyper Island Program Ab - Stockholm,Privat,,,,,105,0,False,False,2.0,0180,01
