municipality_code,municipality,year,population
0114,Upplands Väsby,2020,47184
0115,Vallentuna,2020,34119
0117,Österåker,2020,46644
0120,Värmdö,2020,45566
0123,Järfälla,2020,81274
0125,Ekerö,2020,28879
0126,Huddinge,2020,113234
0127,Botkyrka,2020,94847
0128,Salem,2020,16959
0136,Haninge,2020,93690
0138,Tyresö,2020,48678
0139,Upplands-Bro,2020,30195
0140,Nykvarn,2020,11222
0160,Täby,2020,72755
0162,Danderyd,2020,32712
0163,Sollentuna,2020,73990
0180,Stockholm,2020,975551
0181,Södertälje,2020,100111
0182,Nacka,2020,106505
0183,Sundbyberg,2020,52801
0184,Solna,2020,83162
0186,Lidingö,2020,48005
0187,Vaxholm,2020,11886
0188,Norrtälje,2020,63673
0191,Sigtuna,2020,49537
0192,Nynäshamn,2020,28811
0305,Håbo,2020,22019
0319,Älvkarleby,2020,9511
0330,Knivsta,2020,19106
0331,Heby,2020,14101
0360,Tierp,2020,21327
0380,Uppsala,2020,233839
0381,Enköping,2020,46240
0382,Östhammar,2020,22251
0428,Vingåker,2020,9144
0461,Gnesta,2020,11421
0480,Nyköping,2020,57071
0481,Oxelösund,2020,11995
0482,Flen,2020,16431
0483,Katrineholm,2020,34765
0484,Eskilstuna,2020,106975
0486,Strängnäs,2020,37290
0488,Trosa,2020,14309
0509,Ödeshög,2020,5338
0512,Ydre,2020,3726
0513,Kinda,2020,9991
0560,Boxholm,2020,5441
0561,Åtvidaberg,2020,11427
0562,Finspång,2020,21765
0563,Valdemarsvik,2020,7737
0580,Linköping,2020,164616
0581,Norrköping,2020,143478
0582,Söderköping,2020,14616
0583,Motala,2020,43640
0584,Vadstena,2020,7423
0586,Mjölby,2020,27960
0604,Aneby,2020,6821
0617,Gnosjö,2020,9614
0642,Mullsjö,2020,7385
0643,Habo,2020,12589
0662,Gislaved,2020,29635
0665,Vaggeryd,2020,14532
0680,Jönköping,2020,142427
0682,Nässjö,2020,31563
0683,Värnamo,2020,34530
0684,Sävsjö,2020,11721
0685,Vetlanda,2020,27502
0686,Eksjö,2020,17788
0687,Tranås,2020,18903
0760,Uppvidinge,2020,9498
0761,Lessebo,2020,8655
0763,Tingsryd,2020,12369
0764,Alvesta,2020,20224
0765,Älmhult,2020,17884
0767,Markaryd,2020,10373
0780,Växjö,2020,94859
0781,Ljungby,2020,28401
0821,Högsby,2020,5731
0834,Torsås,2020,7149
0840,Mörbylånga,2020,15487
0860,Hultsfred,2020,14107
0861,Mönsterås,2020,13264
0862,Emmaboda,2020,9360
0880,Kalmar,2020,70329
0881,Nybro,2020,20273
0882,Oskarshamn,2020,27147
0883,Västervik,2020,36655
0884,Vimmerby,2020,15672
0885,Borgholm,2020,10836
0980,Gotland,2020,60124
1060,Olofström,2020,13311
1080,Karlskrona,2020,66515
1081,Ronneby,2020,29372
1082,Karlshamn,2020,32402
1083,Sölvesborg,2020,17456
1214,Svalöv,2020,14276
1230,Staffanstorp,2020,25883
1231,Burlöv,2020,19312
1233,Vellinge,2020,36915
1256,Östra Göinge,2020,15017
1257,Örkelljunga,2020,10451
1260,Bjuv,2020,15697
1261,Kävlinge,2020,32020
1262,Lomma,2020,24876
1263,Svedala,2020,22665
1264,Skurup,2020,16042
1265,Sjöbo,2020,19412
1266,Hörby,2020,15653
1267,Höör,2020,16830
1270,Tomelilla,2020,13663
1272,Bromölla,2020,12759
1273,Osby,2020,13198
1275,Perstorp,2020,7476
1276,Klippan,2020,17738
1277,Åstorp,2020,16063
1278,Båstad,2020,15413
1280,Malmö,2020,347949
1281,Lund,2020,125941
1282,Landskrona,2020,46305
1283,Helsingborg,2020,149280
1284,Höganäs,2020,27168
1285,Eslöv,2020,34123
1286,Ystad,2020,30970
1287,Trelleborg,2020,45877
1290,Kristianstad,2020,86217
1291,Simrishamn,2020,19227
1292,Ängelholm,2020,42910
1293,Hässleholm,2020,52010
1315,Hylte,2020,10649
1380,Halmstad,2020,103754
1381,Laholm,2020,25967
1382,Falkenberg,2020,46051
1383,Varberg,2020,65397
1384,Kungsbacka,2020,84930
1401,Härryda,2020,38246
1402,Partille,2020,39512
1407,Öckerö,2020,12934
1415,Stenungsund,2020,27044
1419,Tjörn,2020,16147
1421,Orust,2020,15315
1427,Sotenäs,2020,9100
1430,Munkedal,2020,10582
1435,Tanum,2020,12912
1438,Dals-Ed,2020,4761
1439,Färgelanda,2020,6658
1440,Ale,2020,31868
1441,Lerum,2020,43020
1442,Vårgårda,2020,11946
1443,Bollebygd,2020,9544
1444,Grästorp,2020,5685
1445,Essunga,2020,5687
1446,Karlsborg,2020,6962
1447,Gullspång,2020,5169
1452,Tranemo,2020,11885
1460,Bengtsfors,2020,9591
1461,Mellerud,2020,9312
1462,Lilla Edet,2020,14282
1463,Mark,2020,34896
1465,Svenljunga,2020,10751
1466,Herrljunga,2020,9444
1470,Vara,2020,16096
1471,Götene,2020,13194
1472,Tibro,2020,11297
1473,Töreboda,2020,9281
1480,Göteborg,2020,583056
1481,Mölndal,2020,69901
1482,Kungälv,2020,47050
1484,Lysekil,2020,14366
1485,Uddevalla,2020,56787
1486,Strömstad,2020,13244
1487,Vänersborg,2020,39624
1488,Trollhättan,2020,59249
1489,Alingsås,2020,41602
1490,Borås,2020,113714
1491,Ulricehamn,2020,24704
1492,Åmål,2020,12441
1493,Mariestad,2020,24513
1494,Lidköping,2020,40328
1495,Skara,2020,18695
1496,Skövde,2020,56791
1497,Hjo,2020,9229
1498,Tidaholm,2020,12790
1499,Falköping,2020,33238
1715,Kil,2020,12115
1730,Eda,2020,8550
1737,Torsby,2020,11549
1760,Storfors,2020,3990
1761,Hammarö,2020,16668
1762,Munkfors,2020,3725
1763,Forshaga,2020,11524
1764,Grums,2020,9043
1765,Årjäng,2020,9996
1766,Sunne,2020,13335
1780,Karlstad,2020,94828
1781,Kristinehamn,2020,24190
1782,Filipstad,2020,10503
1783,Hagfors,2020,11517
1784,Arvika,2020,25932
1785,Säffle,2020,15420
1814,Lekeberg,2020,8472
1860,Laxå,2020,5659
1861,Hallsberg,2020,15990
1862,Degerfors,2020,9631
1863,Hällefors,2020,6896
1864,Ljusnarsberg,2020,4674
1880,Örebro,2020,156381
1881,Kumla,2020,21862
1882,Askersund,2020,11471
1883,Karlskoga,2020,30263
1884,Nora,2020,10686
1885,Lindesberg,2020,23658
1904,Skinnskatteberg,2020,4366
1907,Surahammar,2020,10092
1960,Kungsör,2020,8745
1961,Hallstahammar,2020,16400
1962,Norberg,2020,5729
1980,Västerås,2020,155551
1981,Sala,2020,22867
1982,Fagersta,2020,13267
1983,Köping,2020,26085
1984,Arboga,2020,14039
2021,Vansbro,2020,6801
2023,Malung-Sälen,2020,10177
2026,Gagnef,2020,10378
2029,Leksand,2020,15801
2031,Rättvik,2020,11047
2034,Orsa,2020,6877
2039,Älvdalen,2020,7033
2061,Smedjebacken,2020,10854
2062,Mora,2020,20492
2080,Falun,2020,59528
2081,Borlänge,2020,52394
2082,Säter,2020,11161
2083,Hedemora,2020,15462
2084,Avesta,2020,23067
2085,Ludvika,2020,26604
2101,Ockelbo,2020,5884
2104,Hofors,2020,9570
2121,Ovanåker,2020,11672
2132,Nordanstig,2020,9483
2161,Ljusdal,2020,18867
2180,Gävle,2020,102904
2181,Sandviken,2020,39290
2182,Söderhamn,2020,25492
2183,Bollnäs,2020,26809
2184,Hudiksvall,2020,37531
2260,Ånge,2020,9226
2262,Timrå,2020,17963
2280,Härnösand,2020,25114
2281,Sundsvall,2020,99439
2282,Kramfors,2020,18133
2283,Sollefteå,2020,18872
2284,Örnsköldsvik,2020,55807
2303,Ragunda,2020,5208
2305,Bräcke,2020,6181
2309,Krokom,2020,15054
2313,Strömsund,2020,11488
2321,Åre,2020,12049
2326,Berg,2020,7120
2361,Härjedalen,2020,10070
2380,Östersund,2020,63985
2401,Nordmaling,2020,7108
2403,Bjurholm,2020,2387
2404,Vindeln,2020,5485
2409,Robertsfors,2020,6748
2417,Norsjö,2020,3945
2418,Malå,2020,3024
2421,Storuman,2020,5826
2422,Sorsele,2020,2442
2425,Dorotea,2020,2498
2460,Vännäs,2020,8997
2462,Vilhelmina,2020,6539
2463,Åsele,2020,2805
2480,Umeå,2020,130224
2481,Lycksele,2020,12324
2482,Skellefteå,2020,72840
2505,Arvidsjaur,2020,6145
2506,Arjeplog,2020,2718
2510,Jokkmokk,2020,4851
2513,Överkalix,2020,3289
2514,Kalix,2020,15812
2518,Övertorneå,2020,4217
2521,Pajala,2020,5966
2523,Gällivare,2020,17462
2560,Älvsbyn,2020,8054
2580,Luleå,2020,78549
2581,Piteå,2020,42226
2582,Boden,2020,28060
2583,Haparanda,2020,9601
2584,Kiruna,2020,22664
0114,Upplands Väsby,2021,47820
0115,Vallentuna,2021,34246
0117,Österåker,2021,48234
0120,Värmdö,2021,46232
0123,Järfälla,2021,83170
0125,Ekerö,2021,29096
0126,Huddinge,2021,113951
0127,Botkyrka,2021,95318
0128,Salem,2021,17252
0136,Haninge,2021,95658
0138,Tyresö,2021,49062
0139,Upplands-Bro,2021,31082
0140,Nykvarn,2021,11500
0160,Täby,2021,73955
0162,Danderyd,2021,32803
0163,Sollentuna,2021,75108
0180,Stockholm,2021,978770
0181,Södertälje,2021,101209
0182,Nacka,2021,108234
0183,Sundbyberg,2021,53564
0184,Solna,2021,84187
0186,Lidingö,2021,48162
0187,Vaxholm,2021,11996
0188,Norrtälje,2021,64762
0191,Sigtuna,2021,50273
0192,Nynäshamn,2021,29495
0305,Håbo,2021,22344
0319,Älvkarleby,2021,9627
0330,Knivsta,2021,19818
0331,Heby,2021,14303
0360,Tierp,2021,21485
0380,Uppsala,2021,237596
0381,Enköping,2021,47489
0382,Östhammar,2021,22364
0428,Vingåker,2021,9063
0461,Gnesta,2021,11513
0480,Nyköping,2021,57633
0481,Oxelösund,2021,12132
0482,Flen,2021,16316
0483,Katrineholm,2021,34764
0484,Eskilstuna,2021,107593
0486,Strängnäs,2021,38129
0488,Trosa,2021,14658
0509,Ödeshög,2021,5309
0512,Ydre,2021,3695
0513,Kinda,2021,10048
0560,Boxholm,2021,5512
0561,Åtvidaberg,2021,11462
0562,Finspång,2021,21889
0563,Valdemarsvik,2021,7660
0580,Linköping,2021,165527
0581,Norrköping,2021,144458
0582,Söderköping,2021,14673
0583,Motala,2021,43674
0584,Vadstena,2021,7528
0586,Mjölby,2021,28269
0604,Aneby,2021,6892
0617,Gnosjö,2021,9570
0642,Mullsjö,2021,7430
0643,Habo,2021,12810
0662,Gislaved,2021,29556
0665,Vaggeryd,2021,14746
0680,Jönköping,2021,143579
0682,Nässjö,2021,31782
0683,Värnamo,2021,34661
0684,Sävsjö,2021,11709
0685,Vetlanda,2021,27621
0686,Eksjö,2021,17834
0687,Tranås,2021,18874
0760,Uppvidinge,2021,9449
0761,Lessebo,2021,8574
0763,Tingsryd,2021,12319
0764,Alvesta,2021,20287
0765,Älmhult,2021,17963
0767,Markaryd,2021,10320
0780,Växjö,2021,95995
0781,Ljungby,2021,28433
0821,Högsby,2021,5645
0834,Torsås,2021,7113
0840,Mörbylånga,2021,15722
0860,Hultsfred,2021,14056
0861,Mönsterås,2021,13258
0862,Emmaboda,2021,9329
0880,Kalmar,2021,71328
0881,Nybro,2021,20284
0882,Oskarshamn,2021,27220
0883,Västervik,2021,36747
0884,Vimmerby,2021,15578
0885,Borgholm,2021,10895
0980,Gotland,2021,61001
1060,Olofström,2021,13263
1080,Karlskrona,2021,66708
1081,Ronneby,2021,29200
1082,Karlshamn,2021,32226
1083,Sölvesborg,2021,17540
1214,Svalöv,2021,14412
1230,Staffanstorp,2021,26242
1231,Burlöv,2021,19753
1233,Vellinge,2021,37452
1256,Östra Göinge,2021,14941
1257,Örkelljunga,2021,10499
1260,Bjuv,2021,15842
1261,Kävlinge,2021,32341
1262,Lomma,2021,24638
1263,Svedala,2021,23222
1264,Skurup,2021,16419
1265,Sjöbo,2021,19497
1266,Hörby,2021,15745
1267,Höör,2021,16954
1270,Tomelilla,2021,13712
1272,Bromölla,2021,12650
1273,Osby,2021,13269
1275,Perstorp,2021,7565
1276,Klippan,2021,17783
1277,Åstorp,2021,16308
1278,Båstad,2021,15636
1280,Malmö,2021,351749
1281,Lund,2021,127376
1282,Landskrona,2021,46488
1283,Helsingborg,2021,150109
1284,Höganäs,2021,27589
1285,Eslöv,2021,34593
1286,Ystad,2021,31560
1287,Trelleborg,2021,46231
1290,Kristianstad,2021,86641
1291,Simrishamn,2021,19267
1292,Ängelholm,2021,43633
1293,Hässleholm,2021,52309
1315,Hylte,2021,10619
1380,Halmstad,2021,104573
1381,Laholm,2021,26319
1382,Falkenberg,2021,46773
1383,Varberg,2021,66658
1384,Kungsbacka,2021,85301
1401,Härryda,2021,39006
1402,Partille,2021,39529
1407,Öckerö,2021,12902
1415,Stenungsund,2021,27556
1419,Tjörn,2021,16312
1421,Orust,2021,15345
1427,Sotenäs,2021,9125
1430,Munkedal,2021,10588
1435,Tanum,2021,12965
1438,Dals-Ed,2021,4756
1439,Färgelanda,2021,6576
1440,Ale,2021,32148
1441,Lerum,2021,43399
1442,Vårgårda,2021,12180
1443,Bollebygd,2021,9634
1444,Grästorp,2021,5730
1445,Essunga,2021,5698
1446,Karlsborg,2021,6965
1447,Gullspång,2021,5206
1452,Tranemo,2021,11937
1460,Bengtsfors,2021,9409
1461,Mellerud,2021,9268
1462,Lilla Edet,2021,14509
